timestamp,air_temperature
1631304000,17.405
1631307600,17.25
1631311200,17.035
1631314800,16.865
1631318400,16.67
1631322000,16.13
1631325600,15.59
1631329200,14.94
1631332800,14.4
1631336400,15.24
1631340000,17.71
1631343600,20.835
1631347200,25.17
1631350800,26.43
1631354400,27.53
1631358000,27.975
1631361600,28.975
1631365200,29.67
1631368800,29.49
1631372400,28.35
1631376000,27.315
1631379600,23.815
1631383200,18.97
1631386800,16.85
1631390400,17.55
1631394000,17.785
1631397600,17.29
1631401200,16.95
1631404800,16.19
1631408400,15.945
1631412000,15.625
1631415600,15.22
1631419200,15.025
1631422800,15.335
1631426400,18.72
1631430000,22.45
1631433600,26.56
1631437200,27.23
1631440800,28.79
1631444400,29.155
1631448000,29.395
1631451600,30.11
1631455200,30.125
1631458800,30.435
1631462400,28.975
1631466000,24.2
1631469600,18.18
1631473200,17.805
1631476800,18.595
1631480400,18.47
1631484000,16.64
1631487600,16.335
1631491200,16.07
1631494800,15.655
1631498400,15.34
1631502000,15.285
1631505600,15.07
1631509200,16.04
1631512800,19.14
1631516400,22.605
1631520000,27.195
1631523600,28.87
1631527200,30.205
1631530800,30.62
1631534400,30.91
1631538000,31.465
1631541600,31.67
1631545200,31.195
1631548800,29.53
1631552400,23.525
1631556000,18.585
1631559600,19.005
1631563200,18.98
1631566800,19.55
1631570400,20.095
1631574000,19.96
1631577600,19.975
1631581200,19.355
1631584800,18.89
1631588400,18.065
1631592000,17.37
1631595600,17.245
1631599200,20.84
1631602800,24.29
1631606400,28.4
1631610000,29.65
1631613600,30.87
1631617200,31.145
1631620800,31.455
1631624400,31.83
1631628000,32.315
1631631600,30.595
1631635200,27.46
1631638800,22.06
1631642400,20.99
1631646000,22.045
1631649600,21.565
1631653200,18.345
1631656800,16.825
1631660400,15.92
1631664000,17.795
1631667600,19.46
1631671200,18.595
1631674800,18.44
1631678400,17.575
1631682000,17.285
1631685600,19.34
1631689200,24.58
1631692800,27.555
1631696400,28.99
1631700000,29.83
1631703600,31.155
1631707200,30.21
1631710800,28.105
1631714400,28.23
1631718000,29.5
1631721600,27.735
1631725200,26.29
1631728800,24.495
1631732400,25.095
1631736000,24.19
1631739600,22.99
1631743200,20.745
