timestamp,z60_y0_x0,z60_y0_x25,z60_y0_x50,z60_y0_x80,z40_y0_x0,z40_y0_x25,z40_y0_x50,z40_y0_x80,z20_y0_x0,z20_y0_x25,z20_y0_x50,z20_y0_x80
1655517600,0.1206,0.1313,0.1221,0.1996,0.1933,0.1840,0.0815,0.0830,0.3160,0.2009,0.0949,0.0690
1655521200,0.1208,0.1315,0.1221,0.1992,0.1933,0.1837,0.0816,0.0831,0.3172,0.2027,0.0950,0.0690
1655524800,0.1210,0.1316,0.1221,0.1989,0.1933,0.1835,0.0817,0.0831,0.3181,0.2046,0.0950,0.0690
1655528400,0.1211,0.1317,0.1221,0.1985,0.1930,0.1831,0.0817,0.0832,0.3188,0.2065,0.0950,0.0689
1655532000,0.1212,0.1318,0.1221,0.1980,0.1923,0.1825,0.0818,0.0832,0.3193,0.2081,0.0948,0.0689
1655535600,0.1211,0.1317,0.1219,0.1974,0.1907,0.1816,0.0817,0.0832,0.3196,0.2094,0.0945,0.0689
1655539200,0.1210,0.1315,0.1217,0.1966,0.1886,0.1804,0.0817,0.0831,0.3196,0.2103,0.0940,0.0688
1655542800,0.1208,0.1312,0.1214,0.1957,0.1860,0.1790,0.0816,0.0830,0.3211,0.2110,0.0934,0.0687
1655546400,0.1205,0.1309,0.1210,0.1946,0.1833,0.1775,0.0814,0.0829,0.3275,0.2115,0.0927,0.0686
1655550000,0.1202,0.1306,0.1207,0.1933,0.1805,0.1759,0.0813,0.0828,0.3344,0.2120,0.0921,0.0684
1655553600,0.1199,0.1303,0.1204,0.1873,0.1780,0.1744,0.0812,0.0826,0.3396,0.2128,0.0914,0.0683
1655557200,0.1196,0.1299,0.1201,0.1820,0.1754,0.1727,0.0810,0.0825,0.3426,0.2139,0.0908,0.0682
1655560800,0.1193,0.1296,0.1198,0.1779,0.1737,0.1714,0.0809,0.0824,0.3444,0.2159,0.0903,0.0681
1655564400,0.1191,0.1294,0.1195,0.1742,0.1724,0.1701,0.0808,0.0823,0.3459,0.2182,0.0898,0.0680
1655568000,0.1189,0.1292,0.1193,0.1716,0.1719,0.1690,0.0808,0.0822,0.3470,0.2210,0.0895,0.0680
1655571600,0.1187,0.1291,0.1192,0.1702,0.1724,0.1682,0.0807,0.0822,0.3488,0.2239,0.0892,0.0679
1655575200,0.1187,0.1291,0.1192,0.1704,0.1743,0.1679,0.0808,0.0823,0.3502,0.2275,0.0892,0.0679
1655578800,0.1187,0.1292,0.1192,0.1710,0.1769,0.1678,0.0808,0.0823,0.3502,0.2316,0.0892,0.0679
1655582400,0.1187,0.1293,0.1192,0.1714,0.1798,0.1677,0.0809,0.0824,0.3504,0.2354,0.0892,0.0679
1655586000,0.1188,0.1294,0.1192,0.1715,0.1825,0.1675,0.0809,0.0824,0.3505,0.2389,0.0892,0.0679
1655589600,0.1188,0.1295,0.1192,0.1716,0.1855,0.1674,0.0810,0.0824,0.3506,0.2421,0.0892,0.0679
1655593200,0.1188,0.1295,0.1192,0.1716,0.1884,0.1672,0.0810,0.0825,0.3506,0.2451,0.0892,0.0679
1655596800,0.1188,0.1296,0.1192,0.1717,0.1915,0.1671,0.0811,0.0825,0.3505,0.2479,0.0892,0.0679
1655600400,0.1188,0.1297,0.1192,0.1717,0.1947,0.1670,0.0811,0.0826,0.3501,0.2504,0.0892,0.0679
1655604000,0.1188,0.1297,0.1192,0.1717,0.1979,0.1670,0.0811,0.0826,0.3497,0.2526,0.0892,0.0679
1655607600,0.1188,0.1298,0.1191,0.1717,0.2010,0.1670,0.0812,0.0827,0.3492,0.2547,0.0892,0.0679
1655611200,0.1188,0.1299,0.1191,0.1716,0.2040,0.1670,0.0812,0.0827,0.3488,0.2566,0.0892,0.0679
1655614800,0.1188,0.1298,0.1191,0.1708,0.2067,0.1667,0.0813,0.0827,0.3483,0.2581,0.0891,0.0679
1655618400,0.1187,0.1297,0.1190,0.1696,0.2091,0.1663,0.0812,0.0827,0.3478,0.2593,0.0890,0.0678
1655622000,0.1185,0.1295,0.1188,0.1677,0.2112,0.1655,0.0812,0.0827,0.3472,0.2602,0.0887,0.0678
1655625600,0.1183,0.1291,0.1186,0.1649,0.2128,0.1643,0.0811,0.0826,0.3466,0.2607,0.0883,0.0677
1655629200,0.1180,0.1286,0.1183,0.1613,0.2139,0.1628,0.0810,0.0824,0.3459,0.2609,0.0878,0.0676
1655632800,0.1176,0.1280,0.1180,0.1540,0.2148,0.1611,0.0808,0.0823,0.3454,0.2609,0.0873,0.0675
1655636400,0.1172,0.1274,0.1177,0.1469,0.2155,0.1594,0.0807,0.0821,0.3466,0.2608,0.0868,0.0674
1655640000,0.1169,0.1268,0.1174,0.1401,0.2159,0.1577,0.0805,0.0820,0.3506,0.2606,0.0863,0.0673
1655643600,0.1165,0.1262,0.1170,0.1330,0.2161,0.1559,0.0804,0.0818,0.3556,0.2607,0.0857,0.0672
1655647200,0.1162,0.1256,0.1167,0.1266,0.2160,0.1544,0.0802,0.0817,0.3589,0.2613,0.0853,0.0671
1655650800,0.1160,0.1252,0.1165,0.1216,0.2160,0.1532,0.0801,0.0816,0.3606,0.2628,0.0849,0.0670
1655654400,0.1158,0.1248,0.1163,0.1221,0.2162,0.1524,0.0800,0.0815,0.3620,0.2648,0.0847,0.0669
1655658000,0.1156,0.1246,0.1162,0.1225,0.2172,0.1522,0.0800,0.0815,0.3624,0.2672,0.0845,0.0669
1655661600,0.1156,0.1246,0.1161,0.1230,0.2188,0.1525,0.0800,0.0815,0.3628,0.2698,0.0845,0.0669
1655665200,0.1156,0.1247,0.1161,0.1235,0.2211,0.1531,0.0801,0.0815,0.3636,0.2725,0.0845,0.0669
1655668800,0.1156,0.1247,0.1161,0.1240,0.2234,0.1538,0.0801,0.0815,0.3635,0.2749,0.0845,0.0669
1655672400,0.1156,0.1247,0.1161,0.1245,0.2259,0.1546,0.0801,0.0816,0.3633,0.2771,0.0846,0.0669
1655676000,0.1156,0.1248,0.1161,0.1251,0.2285,0.1555,0.0802,0.0816,0.3631,0.2791,0.0846,0.0669
1655679600,0.1156,0.1248,0.1161,0.1257,0.2311,0.1566,0.0802,0.0816,0.3629,0.2808,0.0846,0.0669
1655683200,0.1156,0.1249,0.1161,0.1262,0.2337,0.1578,0.0802,0.0817,0.3625,0.2824,0.0847,0.0669
1655686800,0.1156,0.1249,0.1161,0.1269,0.2362,0.1591,0.0803,0.0817,0.3622,0.2837,0.0847,0.0669
1655690400,0.1156,0.1250,0.1161,0.1275,0.2386,0.1605,0.0803,0.0817,0.3618,0.2849,0.0847,0.0669
1655694000,0.1157,0.1250,0.1161,0.1282,0.2409,0.1621,0.0803,0.0818,0.3614,0.2859,0.0848,0.0669
1655697600,0.1156,0.1250,0.1161,0.1286,0.2431,0.1637,0.0804,0.0818,0.3610,0.2867,0.0849,0.0669
1655701200,0.1156,0.1249,0.1160,0.1281,0.2450,0.1650,0.0804,0.0818,0.3604,0.2874,0.0848,0.0669
1655704800,0.1155,0.1247,0.1159,0.1269,0.2466,0.1661,0.0803,0.0818,0.3596,0.2878,0.0848,0.0668
1655708400,0.1153,0.1240,0.1157,0.1235,0.2476,0.1661,0.0803,0.0817,0.3586,0.2879,0.0845,0.0668
1655712000,0.1150,0.1232,0.1155,0.1187,0.2481,0.1656,0.0801,0.0816,0.3575,0.2877,0.0842,0.0667
1655715600,0.1147,0.1222,0.1152,0.1189,0.2482,0.1649,0.0800,0.0814,0.3565,0.2873,0.0838,0.0666
1655719200,0.1143,0.1218,0.1149,0.1188,0.2476,0.1637,0.0798,0.0812,0.3554,0.2866,0.0834,0.0665
1655722800,0.1139,0.1214,0.1145,0.1187,0.2465,0.1622,0.0796,0.0810,0.3547,0.2859,0.0830,0.0664
1655726400,0.1135,0.1210,0.1142,0.1184,0.2450,0.1610,0.0794,0.0809,0.3560,0.2851,0.0825,0.0663
1655730000,0.1132,0.1205,0.1138,0.1181,0.2432,0.1594,0.0792,0.0807,0.3579,0.2843,0.0821,0.0662
1655733600,0.1128,0.1202,0.1135,0.1179,0.2416,0.1583,0.0791,0.0805,0.3587,0.2839,0.0817,0.0661
1655737200,0.1125,0.1198,0.1132,0.1176,0.2401,0.1557,0.0789,0.0804,0.3591,0.2837,0.0814,0.0660
1655740800,0.1123,0.1195,0.1130,0.1174,0.2389,0.1543,0.0788,0.0802,0.3591,0.2837,0.0811,0.0659
1655744400,0.1120,0.1192,0.1128,0.1172,0.2382,0.1515,0.0787,0.0801,0.3590,0.2839,0.0809,0.0658
1655748000,0.1118,0.1190,0.1126,0.1171,0.2378,0.1494,0.0786,0.0800,0.3588,0.2841,0.0807,0.0658
1655751600,0.1117,0.1188,0.1124,0.1170,0.2377,0.1481,0.0785,0.0800,0.3586,0.2843,0.0806,0.0657
1655755200,0.1116,0.1187,0.1124,0.1169,0.2383,0.1499,0.0785,0.0799,0.3583,0.2848,0.0805,0.0657
1655758800,0.1116,0.1187,0.1123,0.1169,0.2393,0.1518,0.0785,0.0799,0.3579,0.2852,0.0805,0.0657
1655762400,0.1115,0.1186,0.1123,0.1169,0.2404,0.1539,0.0785,0.0799,0.3573,0.2856,0.0806,0.0657
1655766000,0.1114,0.1186,0.1122,0.1168,0.2415,0.1558,0.0785,0.0799,0.3568,0.2860,0.0806,0.0657
1655769600,0.1114,0.1185,0.1122,0.1168,0.2427,0.1578,0.0785,0.0799,0.3562,0.2864,0.0806,0.0657
1655773200,0.1114,0.1185,0.1121,0.1168,0.2440,0.1603,0.0785,0.0799,0.3557,0.2867,0.0807,0.0656
1655776800,0.1113,0.1184,0.1121,0.1168,0.2452,0.1631,0.0785,0.0799,0.3552,0.2870,0.0808,0.0656
1655780400,0.1113,0.1184,0.1121,0.1168,0.2466,0.1664,0.0785,0.0799,0.3547,0.2873,0.0809,0.0656
1655784000,0.1113,0.1185,0.1121,0.1168,0.2480,0.1696,0.0785,0.0799,0.3543,0.2876,0.0810,0.0656
1655787600,0.1113,0.1184,0.1121,0.1168,0.2492,0.1722,0.0785,0.0800,0.3538,0.2878,0.0812,0.0656
1655791200,0.1112,0.1183,0.1120,0.1167,0.2503,0.1733,0.0785,0.0799,0.3532,0.2879,0.0813,0.0656
1655794800,0.1110,0.1181,0.1118,0.1166,0.2510,0.1724,0.0784,0.0798,0.3524,0.2876,0.0812,0.0655
1655798400,0.1108,0.1178,0.1116,0.1164,0.2515,0.1710,0.0783,0.0797,0.3518,0.2873,0.0811,0.0655
1655802000,0.1105,0.1175,0.1114,0.1162,0.2517,0.1653,0.0782,0.0796,0.3531,0.2868,0.0809,0.0654
1655805600,0.1103,0.1172,0.1111,0.1159,0.2517,0.1600,0.0780,0.0794,0.3576,0.2863,0.0807,0.0653
1655809200,0.1100,0.1169,0.1109,0.1157,0.2516,0.1547,0.0779,0.0793,0.3651,0.2861,0.0805,0.0652
1655812800,0.1097,0.1165,0.1106,0.1154,0.2514,0.1493,0.0777,0.0792,0.3723,0.2872,0.0803,0.0652
1655816400,0.1094,0.1162,0.1103,0.1152,0.2513,0.1434,0.0776,0.0790,0.3763,0.2899,0.0801,0.0651
1655820000,0.1091,0.1158,0.1100,0.1149,0.2518,0.1386,0.0774,0.0788,0.3782,0.2940,0.0799,0.0650
1655823600,0.1089,0.1156,0.1098,0.1147,0.2532,0.1366,0.0773,0.0787,0.3796,0.2984,0.0797,0.0649
1655827200,0.1087,0.1154,0.1097,0.1146,0.2551,0.1352,0.0772,0.0786,0.3806,0.3024,0.0796,0.0649
1655830800,0.1086,0.1152,0.1096,0.1145,0.2579,0.1362,0.0772,0.0786,0.3809,0.3059,0.0796,0.0648
1655834400,0.1084,0.1151,0.1094,0.1144,0.2607,0.1373,0.0771,0.0785,0.3812,0.3091,0.0796,0.0648
1655838000,0.1083,0.1150,0.1093,0.1143,0.2637,0.1392,0.0771,0.0785,0.3808,0.3115,0.0796,0.0648
1655841600,0.1083,0.1149,0.1093,0.1143,0.2667,0.1444,0.0771,0.0785,0.3802,0.3133,0.0798,0.0648
1655845200,0.1083,0.1149,0.1093,0.1142,0.2695,0.1501,0.0771,0.0785,0.3795,0.3147,0.0800,0.0648
1655848800,0.1083,0.1149,0.1093,0.1142,0.2721,0.1557,0.0771,0.0785,0.3788,0.3157,0.0802,0.0648
1655852400,0.1083,0.1149,0.1093,0.1142,0.2745,0.1624,0.0771,0.0785,0.3781,0.3165,0.0806,0.0648
1655856000,0.1083,0.1149,0.1093,0.1142,0.2767,0.1690,0.0771,0.0785,0.3774,0.3171,0.0809,0.0648
1655859600,0.1083,0.1149,0.1093,0.1143,0.2787,0.1753,0.0771,0.0785,0.3766,0.3175,0.0814,0.0648
1655863200,0.1083,0.1149,0.1093,0.1143,0.2806,0.1814,0.0771,0.0786,0.3759,0.3178,0.0819,0.0648
1655866800,0.1083,0.1149,0.1093,0.1143,0.2823,0.1869,0.0772,0.0786,0.3751,0.3179,0.0825,0.0648
1655870400,0.1083,0.1149,0.1093,0.1143,0.2837,0.1920,0.0772,0.0786,0.3743,0.3179,0.0832,0.0648
1655874000,0.1083,0.1149,0.1093,0.1142,0.2851,0.1966,0.0772,0.0786,0.3736,0.3179,0.0839,0.0648
1655877600,0.1082,0.1148,0.1092,0.1142,0.2863,0.2011,0.0772,0.0786,0.3732,0.3177,0.0846,0.0647
1655881200,0.1082,0.1148,0.1092,0.1142,0.2873,0.2049,0.0771,0.0785,0.3731,0.3176,0.0855,0.0647
1655884800,0.1080,0.1146,0.1091,0.1141,0.2880,0.2078,0.0771,0.0785,0.3726,0.3174,0.0863,0.0647
1655888400,0.1078,0.1144,0.1089,0.1139,0.2884,0.2098,0.0770,0.0784,0.3718,0.3169,0.0869,0.0646
1655892000,0.1077,0.1142,0.1087,0.1137,0.2888,0.2117,0.0769,0.0783,0.3710,0.3165,0.0876,0.0646
1655895600,0.1075,0.1139,0.1085,0.1135,0.2889,0.2128,0.0768,0.0782,0.3705,0.3158,0.0882,0.0645
1655899200,0.1072,0.1136,0.1083,0.1133,0.2890,0.2136,0.0767,0.0781,0.3715,0.3152,0.0887,0.0645
1655902800,0.1070,0.1134,0.1081,0.1131,0.2889,0.2146,0.0766,0.0780,0.3745,0.3149,0.0893,0.0644
1655906400,0.1070,0.1133,0.1080,0.1131,0.2891,0.2160,0.0765,0.0779,0.3772,0.3156,0.0902,0.0644
1655910000,0.1069,0.1132,0.1080,0.1130,0.2897,0.2174,0.0765,0.0779,0.3781,0.3171,0.0912,0.0644
1655913600,0.1068,0.1131,0.1079,0.1129,0.2906,0.2188,0.0765,0.0779,0.3786,0.3186,0.0922,0.0643
1655917200,0.1068,0.1131,0.1079,0.1129,0.2918,0.2205,0.0765,0.0779,0.3786,0.3200,0.0935,0.0643
1655920800,0.1068,0.1131,0.1079,0.1129,0.2930,0.2224,0.0765,0.0779,0.3784,0.3212,0.0948,0.0643
1655924400,0.1068,0.1131,0.1079,0.1129,0.2943,0.2245,0.0765,0.0779,0.3780,0.3221,0.0963,0.0643
1655928000,0.1068,0.1131,0.1079,0.1129,0.2955,0.2267,0.0765,0.0779,0.3775,0.3228,0.0978,0.0643
1655931600,0.1068,0.1131,0.1079,0.1129,0.2967,0.2290,0.0765,0.0779,0.3770,0.3233,0.0995,0.0643
1655935200,0.1068,0.1131,0.1079,0.1129,0.2978,0.2313,0.0765,0.0779,0.3764,0.3236,0.1013,0.0643
1655938800,0.1068,0.1131,0.1079,0.1129,0.2987,0.2335,0.0765,0.0779,0.3757,0.3238,0.1031,0.0643
1655942400,0.1068,0.1131,0.1079,0.1129,0.2995,0.2357,0.0765,0.0779,0.3750,0.3238,0.1050,0.0643
1655946000,0.1069,0.1131,0.1079,0.1129,0.3002,0.2378,0.0765,0.0779,0.3743,0.3237,0.1070,0.0643
1655949600,0.1069,0.1131,0.1079,0.1129,0.3008,0.2399,0.0766,0.0779,0.3736,0.3236,0.1091,0.0643
1655953200,0.1069,0.1131,0.1079,0.1129,0.3013,0.2419,0.0766,0.0779,0.3729,0.3234,0.1112,0.0643
1655956800,0.1070,0.1131,0.1079,0.1129,0.3017,0.2437,0.0766,0.0780,0.3721,0.3231,0.1134,0.0643
1655960400,0.1070,0.1131,0.1079,0.1129,0.3021,0.2454,0.0766,0.0780,0.3714,0.3228,0.1155,0.0643
1655964000,0.1070,0.1130,0.1078,0.1128,0.3023,0.2469,0.0766,0.0779,0.3706,0.3224,0.1174,0.0643
1655967600,0.1070,0.1129,0.1077,0.1127,0.3024,0.2481,0.0765,0.0779,0.3698,0.3218,0.1189,0.0643
1655971200,0.1070,0.1127,0.1076,0.1126,0.3024,0.2490,0.0765,0.0778,0.3687,0.3211,0.1198,0.0642
1655974800,0.1069,0.1125,0.1074,0.1124,0.3023,0.2496,0.0764,0.0777,0.3675,0.3202,0.1205,0.0642
1655978400,0.1067,0.1122,0.1072,0.1122,0.3020,0.2500,0.0763,0.0776,0.3663,0.3192,0.1206,0.0641
1655982000,0.1066,0.1119,0.1070,0.1120,0.3016,0.2502,0.0761,0.0775,0.3656,0.3181,0.1209,0.0640
1655985600,0.1066,0.1118,0.1068,0.1119,0.3013,0.2506,0.0761,0.0774,0.3665,0.3171,0.1218,0.0640
1655989200,0.1066,0.1117,0.1068,0.1118,0.3009,0.2510,0.0761,0.0773,0.3681,0.3164,0.1231,0.0640
1655992800,0.1066,0.1116,0.1067,0.1117,0.3006,0.2513,0.0760,0.0773,0.3697,0.3163,0.1235,0.0640
1655996400,0.1066,0.1115,0.1066,0.1116,0.3005,0.2516,0.0760,0.0773,0.3703,0.3166,0.1237,0.0639
1656000000,0.1066,0.1114,0.1065,0.1115,0.3005,0.2518,0.0760,0.0772,0.3704,0.3169,0.1237,0.0639
1656003600,0.1066,0.1113,0.1064,0.1115,0.3006,0.2520,0.0759,0.0772,0.3703,0.3172,0.1239,0.0639
1656007200,0.1067,0.1112,0.1063,0.1114,0.3008,0.2522,0.0759,0.0771,0.3701,0.3174,0.1244,0.0639
1656010800,0.1068,0.1111,0.1063,0.1114,0.3010,0.2527,0.0759,0.0771,0.3698,0.3177,0.1262,0.0638
1656014400,0.1070,0.1112,0.1063,0.1114,0.3012,0.2533,0.0760,0.0771,0.3695,0.3179,0.1284,0.0638
1656018000,0.1071,0.1112,0.1063,0.1114,0.3014,0.2539,0.0760,0.0772,0.3692,0.3181,0.1305,0.0638
1656021600,0.1073,0.1112,0.1064,0.1114,0.3016,0.2546,0.0760,0.0772,0.3688,0.3182,0.1326,0.0638
1656025200,0.1076,0.1112,0.1064,0.1114,0.3018,0.2552,0.0761,0.0772,0.3684,0.3183,0.1346,0.0638
1656028800,0.1079,0.1112,0.1064,0.1114,0.3020,0.2559,0.0761,0.0772,0.3678,0.3183,0.1366,0.0638
1656032400,0.1082,0.1112,0.1064,0.1114,0.3021,0.2566,0.0762,0.0772,0.3672,0.3183,0.1386,0.0638
1656036000,0.1087,0.1112,0.1064,0.1114,0.3022,0.2572,0.0762,0.0772,0.3665,0.3182,0.1406,0.0638
1656039600,0.1092,0.1112,0.1064,0.1114,0.3023,0.2579,0.0763,0.0772,0.3658,0.3180,0.1426,0.0638
1656043200,0.1098,0.1112,0.1064,0.1114,0.3024,0.2586,0.0764,0.0772,0.3652,0.3179,0.1445,0.0638
1656046800,0.1104,0.1112,0.1063,0.1113,0.3024,0.2591,0.0764,0.0772,0.3645,0.3176,0.1461,0.0638
1656050400,0.1110,0.1111,0.1063,0.1113,0.3024,0.2596,0.0765,0.0772,0.3638,0.3172,0.1470,0.0638
1656054000,0.1113,0.1110,0.1062,0.1112,0.3022,0.2599,0.0765,0.0771,0.3630,0.3167,0.1470,0.0638
1656057600,0.1114,0.1108,0.1060,0.1110,0.3020,0.2600,0.0765,0.0770,0.3620,0.3160,0.1463,0.0637
1656061200,0.1114,0.1105,0.1058,0.1108,0.3017,0.2599,0.0765,0.0769,0.3610,0.3152,0.1453,0.0637
1656064800,0.1111,0.1103,0.1056,0.1106,0.3014,0.2597,0.0764,0.0768,0.3600,0.3143,0.1440,0.0636
1656068400,0.1109,0.1100,0.1054,0.1104,0.3009,0.2594,0.0763,0.0767,0.3594,0.3133,0.1422,0.0636
1656072000,0.1106,0.1097,0.1052,0.1102,0.3005,0.2589,0.0763,0.0765,0.3606,0.3122,0.1403,0.0635
1656075600,0.1103,0.1094,0.1049,0.1099,0.2999,0.2583,0.0762,0.0764,0.3633,0.3112,0.1381,0.0634
1656079200,0.1101,0.1092,0.1047,0.1097,0.2995,0.2576,0.0761,0.0762,0.3655,0.3107,0.1363,0.0633
1656082800,0.1099,0.1090,0.1045,0.1095,0.2993,0.2570,0.0761,0.0761,0.3667,0.3108,0.1354,0.0633
1656086400,0.1098,0.1088,0.1044,0.1094,0.2992,0.2562,0.0760,0.0761,0.3674,0.3109,0.1346,0.0633
1656090000,0.1097,0.1086,0.1042,0.1092,0.2993,0.2558,0.0761,0.0760,0.3676,0.3113,0.1346,0.0632
1656093600,0.1097,0.1085,0.1041,0.1091,0.2994,0.2554,0.0761,0.0759,0.3678,0.3116,0.1348,0.0632
1656097200,0.1098,0.1085,0.1041,0.1091,0.2996,0.2554,0.0761,0.0759,0.3679,0.3121,0.1362,0.0632
1656100800,0.1099,0.1085,0.1041,0.1091,0.2999,0.2554,0.0762,0.0759,0.3677,0.3127,0.1378,0.0632
1656104400,0.1102,0.1085,0.1041,0.1091,0.3002,0.2555,0.0763,0.0759,0.3674,0.3131,0.1391,0.0632
1656108000,0.1104,0.1084,0.1040,0.1090,0.3005,0.2557,0.0764,0.0759,0.3671,0.3135,0.1406,0.0632
1656111600,0.1109,0.1084,0.1040,0.1090,0.3007,0.2560,0.0765,0.0759,0.3668,0.3139,0.1423,0.0632
1656115200,0.1114,0.1084,0.1040,0.1090,0.3009,0.2564,0.0766,0.0759,0.3665,0.3142,0.1440,0.0632
1656118800,0.1121,0.1085,0.1040,0.1090,0.3011,0.2568,0.0768,0.0759,0.3660,0.3144,0.1457,0.0631
1656122400,0.1130,0.1085,0.1040,0.1090,0.3013,0.2573,0.0770,0.0759,0.3654,0.3146,0.1476,0.0631
1656126000,0.1140,0.1085,0.1040,0.1090,0.3014,0.2579,0.0771,0.0759,0.3649,0.3147,0.1494,0.0632
1656129600,0.1152,0.1085,0.1040,0.1090,0.3015,0.2584,0.0773,0.0759,0.3644,0.3148,0.1512,0.0632
1656133200,0.1166,0.1085,0.1040,0.1090,0.3016,0.2590,0.0775,0.0759,0.3638,0.3148,0.1529,0.0631
1656136800,0.1178,0.1085,0.1040,0.1090,0.3016,0.2593,0.0777,0.0759,0.3631,0.3147,0.1535,0.0631
1656140400,0.1187,0.1084,0.1039,0.1088,0.3015,0.2596,0.0778,0.0758,0.3624,0.3144,0.1536,0.0631
1656144000,0.1191,0.1082,0.1037,0.1087,0.3013,0.2597,0.0779,0.0757,0.3615,0.3139,0.1530,0.0631
1656147600,0.1192,0.1080,0.1036,0.1085,0.3011,0.2597,0.0780,0.0756,0.3606,0.3132,0.1520,0.0630
1656151200,0.1191,0.1078,0.1034,0.1083,0.3007,0.2595,0.0780,0.0755,0.3596,0.3124,0.1507,0.0630
1656154800,0.1187,0.1075,0.1031,0.1081,0.3003,0.2591,0.0780,0.0754,0.3585,0.3114,0.1490,0.0629
1656158400,0.1182,0.1073,0.1029,0.1079,0.2998,0.2587,0.0780,0.0753,0.3575,0.3105,0.1474,0.0628
1656162000,0.1178,0.1070,0.1027,0.1077,0.2993,0.2581,0.0779,0.0751,0.3565,0.3094,0.1456,0.0628
1656165600,0.1174,0.1068,0.1025,0.1075,0.2987,0.2574,0.0779,0.0750,0.3556,0.3083,0.1441,0.0627
1656169200,0.1171,0.1066,0.1023,0.1073,0.2981,0.2568,0.0778,0.0749,0.3548,0.3073,0.1430,0.0627
1656172800,0.1167,0.1064,0.1022,0.1072,0.2975,0.2561,0.0778,0.0748,0.3539,0.3064,0.1420,0.0626
1656176400,0.1165,0.1063,0.1021,0.1070,0.2969,0.2555,0.0778,0.0748,0.3531,0.3055,0.1417,0.0626
1656180000,0.1164,0.1062,0.1020,0.1070,0.2963,0.2550,0.0779,0.0747,0.3525,0.3048,0.1421,0.0626
1656183600,0.1165,0.1062,0.1020,0.1069,0.2958,0.2546,0.0779,0.0747,0.3519,0.3042,0.1432,0.0625
1656187200,0.1166,0.1062,0.1019,0.1069,0.2953,0.2543,0.0780,0.0747,0.3514,0.3037,0.1445,0.0625
1656190800,0.1167,0.1062,0.1019,0.1069,0.2948,0.2540,0.0782,0.0747,0.3508,0.3033,0.1457,0.0625
1656194400,0.1170,0.1062,0.1019,0.1069,0.2943,0.2539,0.0783,0.0747,0.3503,0.3030,0.1471,0.0625
1656198000,0.1174,0.1062,0.1019,0.1068,0.2938,0.2537,0.0784,0.0747,0.3498,0.3027,0.1484,0.0625
1656201600,0.1179,0.1062,0.1019,0.1068,0.2934,0.2536,0.0786,0.0747,0.3492,0.3024,0.1499,0.0625
1656205200,0.1185,0.1062,0.1019,0.1068,0.2930,0.2536,0.0788,0.0747,0.3487,0.3022,0.1513,0.0625
1656208800,0.1194,0.1063,0.1019,0.1068,0.2926,0.2536,0.0790,0.0747,0.3482,0.3020,0.1528,0.0625
1656212400,0.1203,0.1063,0.1019,0.1068,0.2922,0.2536,0.0792,0.0747,0.3478,0.3018,0.1542,0.0625
1656216000,0.1215,0.1063,0.1019,0.1068,0.2918,0.2537,0.0795,0.0747,0.3474,0.3016,0.1556,0.0625
1656219600,0.1226,0.1063,0.1019,0.1068,0.2915,0.2537,0.0797,0.0747,0.3469,0.3014,0.1566,0.0625
